100 20 30
0 0.3898 2.6500 264
1 1.0368 2.8474 787
2 1.1837 2.9748 479
3 1.5719 1.1049 188
4 1.2679 0.1814 185
5 0.2982 0.1144 739
6 0.2168 2.7461 600
7 1.1159 2.8118 865
8 0.5030 0.2731 700
9 0.2053 1.7396 279
10 0.4506 0.1189 835
11 0.5167 2.9189 452
12 0.7933 1.8571 846
13 0.7813 2.7257 747
14 1.3172 2.6509 944
15 0.1386 0.8932 784
16 0.5030 2.6612 18
17 1.1979 1.6804 838
18 1.2546 1.5420 173
19 0.6008 0.5383 684
20 0.4053 0.3212 922
21 0.1383 1.9344 871
22 1.1349 2.7599 536
23 1.7427 2.0635 250
24 0.7761 2.0919 534
25 0.1306 0.0770 872
26 0.7341 0.9541 618
27 0.4698 0.2364 4
28 1.3408 2.5547 364
29 0.1493 1.8225 975
30 0.2263 1.6040 270
31 0.3312 1.7173 472
32 1.9319 2.3132 451
33 1.9347 1.9448 852
34 0.7514 0.4387 2
35 1.9566 2.7613 223
36 1.9177 0.9371 688
37 1.0222 0.8749 787
38 0.3422 0.8508 914
39 0.5938 1.8308 384
40 1.2312 0.0600 818
41 1.0815 0.8090 973
42 0.5561 2.0042 270
43 1.0278 2.4781 969
44 1.1086 2.7937 179
45 1.8598 1.8958 666
46 0.8399 1.2426 924
47 1.8260 2.7402 351
48 1.6886 1.4042 869
49 1.8327 2.4250 234
50 0.2337 1.7235 549
51 0.0603 0.2840 48
52 0.6406 0.3188 112
53 0.0401 0.2849 62
54 0.1393 1.3478 522
55 1.8890 0.4376 457
56 0.6176 0.2984 201
57 1.2474 2.6557 969
58 1.8434 1.7842 533
59 1.3440 0.7903 482
60 0.9241 1.0163 986
61 0.4176 0.9368 180
62 0.7575 1.3904 501
63 1.5744 0.0624 418
64 0.2537 1.9535 801
65 0.6946 1.7656 639
66 0.7954 0.0602 439
67 0.5959 1.6024 210
68 0.6435 2.3859 5
69 0.4862 2.9174 155
70 0.7985 2.5009 41
71 0.7125 1.7944 152
72 0.4953 2.8107 512
73 0.5764 2.4045 534
74 0.0610 0.2076 843
75 1.1801 1.5517 80
76 0.5101 0.4167 16
77 0.6691 0.9512 636
78 0.3557 1.0308 506
79 0.9864 0.4917 91
80 1.2180 1.1674 686
81 0.0570 0.1348 30
82 1.5985 2.3507 526
83 1.0659 2.5184 955
84 1.8140 1.3760 691
85 0.0250 0.1193 843
86 0.7305 2.9645 27
87 0.8831 0.1376 406
88 1.1685 0.2300 16
89 1.5541 0.6337 240
90 0.3424 0.8830 612
91 1.5621 0.0801 584
92 1.2313 2.5234 924
93 0.2520 2.8068 400
94 1.2566 1.6897 983
95 1.8528 0.4053 457
96 1.3304 0.0699 971
97 1.8602 2.2324 722
98 0.7997 2.5791 670
99 0.3933 0.2502 875
